TransactionID,CustomerID,OrderDate,Category,Product,Quantity,UnitPrice,Discount,Amount,CustomerName,Gender,Age,AgeGroup,City,State,Region,JoinDate,Email
TXN002797,C00575,2022-01-19,Clothing,T-Shirt,1,25.49,0.05,24.21,Mark Harris,Female,27,26-35,Charlotte,NC,South,2022-08-15,customer575@email.com
TXN003014,C00631,2022-01-19,Electronics,Laptop,2,272.3,0.2,435.69,Thomas Hernandez,Female,35,26-35,Austin,TX,South,2021-04-16,customer631@email.com
TXN001064,C00199,2022-01-20,Clothing,Jacket,2,221.92,0.0,443.84,Charles Garcia,Female,28,26-35,Nashville,TN,South,2022-10-18,customer199@email.com
TXN000852,C00154,2022-01-21,Home,Decor,3,355.88,0.0,1067.65,Anthony Thomas,Male,51,46-55,Columbus,OH,Central,2023-08-28,customer154@email.com
TXN000683,C00125,2022-01-21,Sports,Running Shoes,2,230.92,0.2,369.47,Nancy Williams,Female,57,56-65,Phoenix,AZ,West,2021-02-16,customer125@email.com
TXN001644,C00319,2022-01-21,Sports,Yoga Mat,1,238.11,0.0,238.11,Margaret Davis,Male,46,46-55,Nashville,TN,South,2023-08-06,customer319@email.com
TXN003005,C00629,2022-01-21,Sports,Dumbbells,2,43.73,0.0,87.47,Elizabeth Williams,Male,64,56-65,Dallas,TX,South,2022-05-09,customer629@email.com
TXN001056,C00199,2022-01-23,Clothing,Sneakers,1,344.6,0.0,344.6,Charles Garcia,Female,28,26-35,Nashville,TN,South,2022-10-18,customer199@email.com
TXN002638,C00546,2022-01-24,Clothing,Jacket,3,199.72,0.15,509.3,Mary Harris,Male,72,65+,Philadelphia,PA,East,2022-11-16,customer546@email.com
TXN002661,C00549,2022-01-24,Beauty,Haircare,3,137.85,0.05,392.88,Barbara Thomas,Female,20,18-25,Dallas,TX,South,2021-11-08,customer549@email.com
TXN000543,C00102,2022-01-25,Beauty,Skincare,2,124.11,0.0,248.22,Robert Harris,Male,38,36-45,Los Angeles,CA,West,2024-02-14,customer102@email.com
TXN001333,C00253,2022-01-25,Electronics,Smartwatch,2,57.55,0.1,103.59,Karen Clark,Female,73,65+,Fort Worth,TX,South,2024-02-19,customer253@email.com
TXN000839,C00153,2022-01-25,Clothing,Dress,2,198.97,0.0,397.93,Jessica Garcia,Female,46,46-55,Fort Worth,TX,South,2023-04-29,customer153@email.com
TXN003086,C00649,2022-01-25,Clothing,Jacket,2,235.52,0.1,423.93,Christopher Sanchez,Male,61,56-65,Dallas,TX,South,2022-11-18,customer649@email.com
TXN000767,C00137,2022-01-26,Beauty,Makeup,3,241.06,0.05,687.02,Sandra Ramirez,Male,31,26-35,Denver,CO,West,2024-01-15,customer137@email.com
TXN002700,C00554,2022-01-26,Beauty,Haircare,3,276.47,0.05,787.94,Ashley Williams,Female,45,36-45,Columbus,OH,Central,2022-02-08,customer554@email.com
TXN001545,C00297,2022-01-27,Electronics,Headphones,1,93.97,0.0,93.97,Mark Anderson,Male,52,46-55,Denver,CO,West,2024-03-06,customer297@email.com
TXN001841,C00363,2022-01-27,Electronics,Smartwatch,2,125.38,0.1,225.68,Joseph Rodriguez,Male,72,65+,Chicago,IL,Central,2023-10-29,customer363@email.com
TXN001624,C00316,2022-01-27,Sports,Yoga Mat,2,83.06,0.15,141.2,Elizabeth Lee,Female,50,46-55,Seattle,WA,West,2022-06-01,customer316@email.com
TXN002848,C00587,2022-01-28,Clothing,T-Shirt,1,68.2,0.0,68.2,Jennifer Davis,Male,59,56-65,San Antonio,TX,South,2022-11-22,customer587@email.com
TXN002958,C00620,2022-01-28,Clothing,Dress,3,41.64,0.0,124.91,Elizabeth Thomas,Female,61,56-65,Detroit,MI,Central,2021-10-31,customer620@email.com
TXN003355,C00708,2022-01-28,Sports,Yoga Mat,2,101.65,0.0,203.31,Robert Jones,Female,51,46-55,San Diego,CA,West,2023-10-08,customer708@email.com
TXN002046,C00405,2022-01-28,Clothing,Jeans,2,72.42,0.1,130.35,Richard Williams,Female,60,56-65,Phoenix,AZ,West,2023-08-16,customer405@email.com
TXN001582,C00304,2022-01-28,Beauty,Haircare,2,58.74,0.0,117.48,Jennifer Clark,Male,68,65+,Houston,TX,South,2022-09-08,customer304@email.com
TXN000367,C00067,2022-01-28,Beauty,Makeup,1,270.07,0.0,270.07,Ashley Williams,Female,23,18-25,San Antonio,TX,South,2021-05-24,customer67@email.com
TXN003148,C00664,2022-01-28,Home,Bedding,2,128.62,0.15,218.66,James Lewis,Male,38,36-45,Houston,TX,South,2022-03-04,customer664@email.com
TXN000956,C00179,2022-01-29,Sports,Yoga Mat,3,98.22,0.0,294.65,Donna Martin,Female,59,56-65,Nashville,TN,South,2024-04-12,customer179@email.com
TXN000787,C00139,2022-01-29,Clothing,Sneakers,1,108.71,0.05,103.27,Michael Johnson,Female,29,26-35,Nashville,TN,South,2023-08-16,customer139@email.com
TXN001364,C00259,2022-01-29,Sports,Running Shoes,3,119.81,0.0,359.44,Sarah Lopez,Male,62,56-65,Nashville,TN,South,2021-03-19,customer259@email.com
TXN003727,C00800,2022-01-29,Clothing,Jacket,2,179.38,0.0,358.76,Linda Ramirez,Female,54,46-55,Detroit,MI,Central,2022-06-10,customer800@email.com
TXN003130,C00659,2022-01-29,Sports,Dumbbells,2,155.9,0.0,311.8,Jessica Thomas,Male,57,56-65,Nashville,TN,South,2022-09-13,customer659@email.com
TXN002773,C00569,2022-01-29,Beauty,Skincare,2,107.97,0.0,215.94,James Perez,Female,42,36-45,Dallas,TX,South,2023-04-18,customer569@email.com
TXN002595,C00540,2022-01-29,Beauty,Skincare,3,174.22,0.05,496.53,John Lewis,Female,21,18-25,Detroit,MI,Central,2022-04-04,customer540@email.com
TXN002425,C00500,2022-01-30,Beauty,Skincare,3,85.17,0.15,217.17,Michelle Davis,Female,28,26-35,Detroit,MI,Central,2023-06-06,customer500@email.com
TXN003350,C00707,2022-01-31,Clothing,Dress,2,116.37,0.05,221.11,Linda Anderson,Male,48,46-55,San Antonio,TX,South,2023-12-20,customer707@email.com
TXN002791,C00572,2022-01-31,Clothing,Sneakers,2,179.69,0.0,359.39,Richard Taylor,Male,62,56-65,Jacksonville,FL,South,2022-04-05,customer572@email.com
TXN002311,C00472,2022-01-31,Clothing,Dress,1,241.87,0.0,241.87,Kimberly Martin,Female,65,56-65,Jacksonville,FL,South,2021-04-02,customer472@email.com
TXN001329,C00252,2022-01-31,Clothing,Jacket,2,148.35,0.15,252.19,Sandra Lopez,Male,64,56-65,Jacksonville,FL,South,2024-01-02,customer252@email.com
TXN001803,C00353,2022-01-31,Sports,Dumbbells,1,106.48,0.2,85.19,Donna Thompson,Male,62,56-65,Fort Worth,TX,South,2022-11-01,customer353@email.com
TXN000474,C00088,2022-02-01,Clothing,Jacket,3,337.73,0.0,1013.18,Steven Martin,Female,50,46-55,San Diego,CA,West,2024-03-04,customer88@email.com
TXN001274,C00245,2022-02-02,Home,Cookware,2,269.97,0.0,539.94,Anthony Sanchez,Female,20,18-25,Phoenix,AZ,West,2021-10-08,customer245@email.com
TXN000317,C00053,2022-02-02,Clothing,Sneakers,2,71.32,0.05,135.51,Sarah Williams,Female,58,56-65,Fort Worth,TX,South,2022-09-25,customer53@email.com
TXN003133,C00660,2022-02-02,Electronics,Smartwatch,2,35.96,0.1,64.72,Donna Jones,Female,26,26-35,Detroit,MI,Central,2021-12-19,customer660@email.com
TXN003106,C00656,2022-02-02,Beauty,Haircare,2,204.53,0.0,409.06,Barbara Williams,Female,66,65+,Seattle,WA,West,2022-09-29,customer656@email.com
TXN002659,C00548,2022-02-03,Beauty,Haircare,1,292.06,0.05,277.45,John Harris,Female,54,46-55,San Diego,CA,West,2023-07-03,customer548@email.com
TXN002850,C00588,2022-02-03,Clothing,Dress,3,43.39,0.1,117.16,Linda Anderson,Female,41,36-45,San Diego,CA,West,2021-10-03,customer588@email.com
TXN000952,C00178,2022-02-04,Clothing,Dress,1,378.82,0.0,378.82,Andrew Davis,Female,34,26-35,Boston,MA,East,2024-01-03,customer178@email.com
TXN001742,C00338,2022-02-04,Beauty,Skincare,1,68.92,0.0,68.92,Jessica Rodriguez,Male,58,56-65,Boston,MA,East,2021-11-09,customer338@email.com
TXN002014,C00398,2022-02-05,Beauty,Makeup,1,16.41,0.0,16.41,Joshua Martin,Male,68,65+,Boston,MA,East,2023-03-30,customer398@email.com
TXN000728,C00130,2022-02-05,Home,Sofa,1,133.23,0.05,126.57,Andrew Jackson,Male,18,18-25,San Jose,CA,West,2023-10-10,customer130@email.com
TXN003501,C00752,2022-02-05,Electronics,Laptop,3,216.78,0.15,552.8,Susan Lee,Female,19,18-25,Jacksonville,FL,South,2021-12-26,customer752@email.com
TXN002975,C00625,2022-02-05,Sports,Yoga Mat,1,238.6,0.0,238.6,Mark Brown,Female,53,46-55,Phoenix,AZ,West,2024-02-22,customer625@email.com
TXN000258,C00044,2022-02-05,Home,Lamp,2,446.84,0.05,848.99,David Moore,Female,69,65+,Houston,TX,South,2023-05-14,customer44@email.com
TXN000595,C00110,2022-02-06,Electronics,Tablet,2,220.15,0.05,418.29,Paul Harris,Male,46,46-55,San Jose,CA,West,2021-09-03,customer110@email.com
TXN001018,C00193,2022-02-06,Clothing,Sneakers,1,288.37,0.0,288.37,Robert Moore,Female,62,56-65,Fort Worth,TX,South,2021-05-14,customer193@email.com
TXN002412,C00497,2022-02-06,Beauty,Makeup,1,398.54,0.0,398.54,Linda Moore,Female,43,36-45,Denver,CO,West,2022-04-04,customer497@email.com
TXN002377,C00490,2022-02-06,Electronics,Laptop,2,60.76,0.05,115.45,Robert Gonzalez,Female,71,65+,San Jose,CA,West,2023-07-07,customer490@email.com
TXN003680,C00790,2022-02-07,Home,Cookware,2,68.62,0.05,130.37,Jennifer Hernandez,Male,74,65+,San Jose,CA,West,2021-07-28,customer790@email.com
TXN000894,C00163,2022-02-07,Beauty,Perfume,1,289.27,0.0,289.27,Ashley Jones,Female,54,46-55,Chicago,IL,Central,2022-10-25,customer163@email.com
TXN003507,C00753,2022-02-07,Home,Cookware,3,46.57,0.0,139.7,Joshua Smith,Male,66,65+,Fort Worth,TX,South,2022-04-08,customer753@email.com
TXN002590,C00540,2022-02-07,Sports,Dumbbells,3,55.78,0.0,167.35,John Lewis,Female,21,18-25,Detroit,MI,Central,2022-04-04,customer540@email.com
TXN003711,C00797,2022-02-07,Clothing,Dress,2,111.79,0.1,201.21,Charles Anderson,Female,21,18-25,Denver,CO,West,2021-07-21,customer797@email.com
TXN002657,C00548,2022-02-08,Home,Lamp,3,442.32,0.15,1127.91,John Harris,Female,54,46-55,San Diego,CA,West,2023-07-03,customer548@email.com
TXN002329,C00475,2022-02-08,Electronics,Smartphone,2,71.48,0.1,128.66,Joseph Lopez,Male,22,18-25,Charlotte,NC,South,2022-02-26,customer475@email.com
TXN000733,C00131,2022-02-08,Sports,Running Shoes,2,61.58,0.0,123.16,Donald Davis,Male,71,65+,Austin,TX,South,2023-03-13,customer131@email.com
TXN002573,C00537,2022-02-08,Electronics,Smartphone,2,89.25,0.2,142.79,Steven Moore,Female,67,65+,Denver,CO,West,2021-08-11,customer537@email.com
TXN002552,C00531,2022-02-08,Beauty,Haircare,3,103.66,0.0,310.99,Karen Martin,Male,56,56-65,Austin,TX,South,2024-02-01,customer531@email.com
TXN000540,C00101,2022-02-08,Sports,Running Shoes,3,141.53,0.1,382.14,Ashley Clark,Female,50,46-55,New York,NY,East,2021-06-30,customer101@email.com
TXN000020,C00005,2022-02-09,Electronics,Smartwatch,2,54.43,0.0,108.86,Paul Williams,Male,19,18-25,Phoenix,AZ,West,2021-05-11,customer5@email.com
TXN003008,C00631,2022-02-09,Home,Decor,3,410.33,0.0,1231.0,Thomas Hernandez,Female,35,26-35,Austin,TX,South,2021-04-16,customer631@email.com
TXN001998,C00395,2022-02-10,Clothing,Dress,1,48.28,0.0,48.28,Susan Anderson,Female,34,26-35,Charlotte,NC,South,2022-03-31,customer395@email.com
TXN001225,C00235,2022-02-10,Home,Sofa,2,63.16,0.05,120.0,Michael Lopez,Female,41,36-45,Charlotte,NC,South,2021-09-06,customer235@email.com
TXN001099,C00207,2022-02-10,Beauty,Makeup,2,44.37,0.1,79.86,Linda Lewis,Female,46,46-55,San Antonio,TX,South,2022-04-06,customer207@email.com
TXN001957,C00387,2022-02-11,Home,Cookware,2,259.48,0.0,518.95,Robert Harris,Female,54,46-55,San Antonio,TX,South,2024-02-07,customer387@email.com
TXN000599,C00111,2022-02-11,Clothing,Dress,3,109.14,0.15,278.3,Richard Thompson,Male,67,65+,Austin,TX,South,2023-01-29,customer111@email.com
TXN003509,C00754,2022-02-11,Electronics,Headphones,2,164.24,0.0,328.49,Patricia Sanchez,Female,58,56-65,Columbus,OH,Central,2023-04-16,customer754@email.com
TXN002135,C00427,2022-02-12,Electronics,Smartphone,2,320.04,0.0,640.07,Margaret Clark,Male,61,56-65,San Antonio,TX,South,2024-03-28,customer427@email.com
TXN003045,C00638,2022-02-12,Electronics,Smartphone,3,151.32,0.2,363.17,Ashley Ramirez,Male,59,56-65,Boston,MA,East,2024-04-10,customer638@email.com
TXN001082,C00202,2022-02-12,Beauty,Makeup,3,245.31,0.0,735.92,Karen Martin,Male,45,36-45,Los Angeles,CA,West,2022-10-30,customer202@email.com
TXN000267,C00046,2022-02-12,Home,Decor,3,40.01,0.0,120.02,Sandra Gonzalez,Male,62,56-65,Philadelphia,PA,East,2022-04-30,customer46@email.com
TXN001754,C00342,2022-02-13,Home,Cookware,3,138.15,0.0,414.44,Christopher Lewis,Male,61,56-65,Los Angeles,CA,West,2022-10-02,customer342@email.com
TXN003270,C00687,2022-02-13,Beauty,Haircare,1,83.82,0.0,83.82,Daniel Davis,Male,39,36-45,San Antonio,TX,South,2021-11-07,customer687@email.com
TXN000644,C00119,2022-02-14,Home,Lamp,2,195.31,0.0,390.62,Joseph Jackson,Female,66,65+,Nashville,TN,South,2021-11-10,customer119@email.com
TXN002185,C00439,2022-02-15,Home,Cookware,1,241.4,0.15,205.19,Daniel Sanchez,Female,73,65+,Nashville,TN,South,2023-01-18,customer439@email.com
TXN000717,C00130,2022-02-15,Electronics,Headphones,2,366.59,0.05,696.52,Andrew Jackson,Male,18,18-25,San Jose,CA,West,2023-10-10,customer130@email.com
TXN002126,C00427,2022-02-15,Electronics,Laptop,2,396.77,0.1,714.19,Margaret Clark,Male,61,56-65,San Antonio,TX,South,2024-03-28,customer427@email.com
TXN002712,C00554,2022-02-17,Clothing,T-Shirt,1,366.86,0.0,366.86,Ashley Williams,Female,45,36-45,Columbus,OH,Central,2022-02-08,customer554@email.com
TXN000099,C00014,2022-02-17,Home,Sofa,3,230.52,0.05,656.98,Donna Rodriguez,Male,56,56-65,Columbus,OH,Central,2022-10-09,customer14@email.com
TXN001180,C00223,2022-02-18,Sports,Running Shoes,3,177.17,0.0,531.51,James Brown,Female,49,46-55,Chicago,IL,Central,2022-03-25,customer223@email.com
TXN001402,C00270,2022-02-18,Electronics,Laptop,2,383.5,0.0,767.0,Linda Gonzalez,Female,66,65+,San Jose,CA,West,2022-09-15,customer270@email.com
TXN001880,C00371,2022-02-19,Clothing,T-Shirt,2,368.25,0.0,736.51,Paul Smith,Male,72,65+,Austin,TX,South,2022-04-14,customer371@email.com
TXN003632,C00780,2022-02-19,Electronics,Smartwatch,2,26.84,0.0,53.67,Mark Taylor,Female,54,46-55,Detroit,MI,Central,2021-04-18,customer780@email.com
TXN002335,C00476,2022-02-19,Beauty,Skincare,2,132.47,0.0,264.95,Barbara Martinez,Female,68,65+,Seattle,WA,West,2022-07-11,customer476@email.com
TXN002813,C00578,2022-02-20,Electronics,Laptop,1,150.86,0.15,128.23,William Robinson,Female,71,65+,Boston,MA,East,2023-08-30,customer578@email.com
TXN002559,C00533,2022-02-20,Sports,Dumbbells,3,46.68,0.0,140.03,Charles Anderson,Male,72,65+,Fort Worth,TX,South,2021-05-23,customer533@email.com
TXN002102,C00420,2022-02-20,Home,Decor,1,15.95,0.1,14.35,Sandra Thompson,Female,34,26-35,Detroit,MI,Central,2023-02-17,customer420@email.com
TXN000446,C00084,2022-02-21,Home,Sofa,1,399.28,0.1,359.35,Thomas Taylor,Male,63,56-65,Houston,TX,South,2021-06-02,customer84@email.com
TXN003363,C00712,2022-02-21,Clothing,Dress,1,91.74,0.1,82.56,Jennifer Sanchez,Male,45,36-45,Jacksonville,FL,South,2024-01-28,customer712@email.com
TXN000281,C00049,2022-02-21,Home,Decor,1,262.06,0.1,235.85,Christopher Clark,Female,59,56-65,Dallas,TX,South,2024-01-15,customer49@email.com
TXN002419,C00499,2022-02-21,Clothing,Dress,3,104.17,0.0,312.5,Joshua Sanchez,Male,56,56-65,Nashville,TN,South,2024-01-28,customer499@email.com
TXN003552,C00756,2022-02-21,Home,Lamp,3,230.75,0.0,692.25,William Sanchez,Male,44,36-45,Seattle,WA,West,2021-05-29,customer756@email.com
TXN003477,C00744,2022-02-22,Clothing,Jacket,2,119.37,0.1,214.87,Mark Anderson,Male,34,26-35,Houston,TX,South,2022-02-12,customer744@email.com
TXN000105,C00017,2022-02-22,Sports,Yoga Mat,3,44.26,0.0,132.77,Margaret Hernandez,Male,45,36-45,Denver,CO,West,2022-07-19,customer17@email.com
TXN000842,C00153,2022-02-22,Home,Bedding,3,120.73,0.2,289.75,Jessica Garcia,Female,46,46-55,Fort Worth,TX,South,2023-04-29,customer153@email.com
TXN003369,C00714,2022-02-22,Sports,Bicycle,2,87.47,0.0,174.94,Thomas Moore,Female,50,46-55,Columbus,OH,Central,2024-01-09,customer714@email.com
TXN000031,C00007,2022-02-23,Beauty,Makeup,3,222.9,0.0,668.7,John Smith,Male,38,36-45,San Antonio,TX,South,2022-01-21,customer7@email.com
TXN000210,C00040,2022-02-23,Clothing,Jeans,1,159.07,0.0,159.07,Lisa Lopez,Female,20,18-25,Detroit,MI,Central,2022-09-05,customer40@email.com
TXN001432,C00276,2022-02-23,Home,Sofa,3,50.98,0.0,152.93,Richard Lopez,Male,72,65+,Seattle,WA,West,2021-12-16,customer276@email.com
TXN003441,C00732,2022-02-23,Home,Decor,2,85.41,0.0,170.82,Paul Jones,Female,34,26-35,Jacksonville,FL,South,2022-09-17,customer732@email.com
TXN003371,C00715,2022-02-24,Home,Sofa,1,59.09,0.0,59.09,Linda Anderson,Male,69,65+,Charlotte,NC,South,2023-02-24,customer715@email.com
TXN002230,C00454,2022-02-24,Beauty,Makeup,3,189.79,0.0,569.36,Betty Thompson,Female,66,65+,Columbus,OH,Central,2021-02-23,customer454@email.com
TXN001230,C00236,2022-02-24,Clothing,Jeans,3,214.93,0.0,644.79,Emily Lewis,Male,59,56-65,Seattle,WA,West,2023-10-17,customer236@email.com
TXN002679,C00551,2022-02-24,Sports,Yoga Mat,2,267.51,0.0,535.02,Mark Robinson,Male,32,26-35,Austin,TX,South,2022-03-21,customer551@email.com
TXN001579,C00303,2022-02-24,Clothing,Jacket,2,49.18,0.05,93.44,Michelle Hernandez,Female,56,56-65,Chicago,IL,Central,2022-02-06,customer303@email.com
TXN000479,C00088,2022-02-25,Home,Bedding,3,297.01,0.1,801.93,Steven Martin,Female,50,46-55,San Diego,CA,West,2024-03-04,customer88@email.com
TXN002578,C00539,2022-02-25,Home,Lamp,2,374.39,0.0,748.77,Jennifer Martin,Male,24,18-25,Nashville,TN,South,2024-01-13,customer539@email.com
TXN001007,C00190,2022-02-25,Beauty,Makeup,2,305.72,0.0,611.43,Robert Smith,Female,45,36-45,San Jose,CA,West,2023-10-22,customer190@email.com
TXN003554,C00757,2022-02-26,Home,Decor,3,22.67,0.15,57.82,Andrew Miller,Female,70,65+,Denver,CO,West,2023-02-09,customer757@email.com
TXN001680,C00328,2022-02-26,Beauty,Makeup,2,267.83,0.0,535.65,Joshua Hernandez,Female,61,56-65,San Diego,CA,West,2023-04-08,customer328@email.com
TXN000554,C00102,2022-02-26,Clothing,Jeans,2,282.51,0.05,536.77,Robert Harris,Male,38,36-45,Los Angeles,CA,West,2024-02-14,customer102@email.com
TXN003703,C00796,2022-02-27,Beauty,Makeup,2,159.96,0.1,287.94,Joshua Taylor,Female,38,36-45,Seattle,WA,West,2023-04-02,customer796@email.com
TXN000137,C00023,2022-02-27,Electronics,Laptop,2,248.58,0.1,447.44,Daniel Martin,Male,53,46-55,Chicago,IL,Central,2021-06-11,customer23@email.com
TXN000756,C00136,2022-02-27,Clothing,Dress,2,103.38,0.1,186.08,Margaret Wilson,Male,54,46-55,Seattle,WA,West,2021-06-03,customer136@email.com
TXN000275,C00048,2022-02-27,Home,Sofa,1,65.03,0.0,65.03,Emily Davis,Female,68,65+,San Diego,CA,West,2024-03-29,customer48@email.com
TXN000847,C00154,2022-02-28,Home,Sofa,3,376.68,0.0,1130.03,Anthony Thomas,Male,51,46-55,Columbus,OH,Central,2023-08-28,customer154@email.com
TXN001449,C00281,2022-02-28,Home,Lamp,2,66.42,0.0,132.84,Karen Taylor,Female,47,46-55,New York,NY,East,2022-10-08,customer281@email.com
TXN001452,C00281,2022-02-28,Electronics,Laptop,2,230.94,0.05,438.78,Karen Taylor,Female,47,46-55,New York,NY,East,2022-10-08,customer281@email.com
TXN000438,C00083,2022-02-28,Beauty,Perfume,2,170.48,0.0,340.96,James White,Male,52,46-55,Chicago,IL,Central,2024-02-10,customer83@email.com
TXN001162,C00217,2022-03-01,Clothing,Sneakers,2,69.99,0.15,118.99,Sarah Johnson,Male,23,18-25,Denver,CO,West,2022-02-09,customer217@email.com
TXN000037,C00007,2022-03-02,Sports,Running Shoes,1,200.07,0.1,180.06,John Smith,Male,38,36-45,San Antonio,TX,South,2022-01-21,customer7@email.com
TXN003241,C00681,2022-03-02,Home,Bedding,1,83.28,0.0,83.28,James Jackson,Female,29,26-35,New York,NY,East,2024-03-30,customer681@email.com
TXN003181,C00673,2022-03-02,Electronics,Headphones,1,247.14,0.2,197.71,Karen Miller,Male,72,65+,Fort Worth,TX,South,2022-03-22,customer673@email.com
TXN001379,C00264,2022-03-02,Clothing,Dress,1,206.36,0.0,206.36,Donna Rodriguez,Male,56,56-65,Houston,TX,South,2022-04-30,customer264@email.com
