CustomerID,CustomerName,Gender,Age,AgeGroup,City,State,Region,JoinDate,Recency,Frequency,Monetary,AvgOrderValue,FirstPurchase,LastPurchase,RecencyStatus,Cluster,Segment
C00015,James Harris,Female,31,26-35,Charlotte,NC,South,2022-01-23,259,1,130.82,130.82,2024-10-13,2024-10-13,At Risk (180+),1,Potential / Occasional
C00016,David Thompson,Male,43,36-45,Seattle,WA,West,2021-08-30,65,2,155.9,77.95,2025-03-01,2025-04-25,Warm (31-90),1,Potential / Occasional
C00017,Margaret Hernandez,Male,45,36-45,Denver,CO,West,2022-07-19,538,2,237.11,118.56,2022-02-22,2024-01-08,At Risk (180+),2,Low-Value / At-Risk
C00018,Sarah Jones,Male,25,18-25,Boston,MA,East,2023-08-14,370,4,1329.14,332.28,2022-09-04,2024-06-24,At Risk (180+),1,Potential / Occasional
C00019,Susan Harris,Female,53,46-55,Nashville,TN,South,2021-02-04,158,13,5880.2,452.32,2022-10-03,2025-01-22,Cool (91-180),0,High-Value Champions
C00020,Nancy Brown,Male,71,65+,Detroit,MI,Central,2023-10-23,537,2,431.58,215.79,2022-11-04,2024-01-09,At Risk (180+),2,Low-Value / At-Risk
C00021,Jennifer Gonzalez,Female,46,46-55,New York,NY,East,2024-02-04,372,4,997.78,249.44,2022-04-17,2024-06-22,At Risk (180+),1,Potential / Occasional
C00022,Michael Lopez,Female,61,56-65,Los Angeles,CA,West,2022-12-04,770,1,77.51,77.51,2023-05-21,2023-05-21,At Risk (180+),2,Low-Value / At-Risk
C00023,Daniel Martin,Male,53,46-55,Chicago,IL,Central,2021-06-11,133,8,3176.6,397.08,2022-02-27,2025-02-16,Cool (91-180),3,Loyal Frequent
C00024,Thomas Sanchez,Female,32,26-35,Houston,TX,South,2021-09-27,1024,1,136.88,136.88,2022-09-09,2022-09-09,At Risk (180+),2,Low-Value / At-Risk
C00025,John White,Female,74,65+,Phoenix,AZ,West,2022-04-01,2,8,3752.24,469.03,2022-06-01,2025-06-27,Active (0-30),3,Loyal Frequent
C00026,Sandra Moore,Female,62,56-65,Philadelphia,PA,East,2021-10-23,6,3,381.71,127.24,2022-06-11,2025-06-23,Active (0-30),1,Potential / Occasional
C00027,Linda Robinson,Female,41,36-45,San Antonio,TX,South,2021-12-04,487,4,902.33,225.58,2022-05-29,2024-02-28,At Risk (180+),1,Potential / Occasional
C00028,Matthew Williams,Male,62,56-65,San Diego,CA,West,2021-08-05,651,1,59.25,59.25,2023-09-17,2023-09-17,At Risk (180+),2,Low-Value / At-Risk
C00029,Emily Martinez,Male,62,56-65,Dallas,TX,South,2023-12-01,1084,2,529.25,264.62,2022-04-01,2022-07-11,At Risk (180+),2,Low-Value / At-Risk
C00030,Michelle Lewis,Male,26,26-35,San Jose,CA,West,2021-03-06,72,2,74.38,37.19,2022-07-11,2025-04-18,Warm (31-90),1,Potential / Occasional
C00031,Lisa Jackson,Male,41,36-45,Austin,TX,South,2024-02-27,727,1,26.09,26.09,2023-07-03,2023-07-03,At Risk (180+),2,Low-Value / At-Risk
C00032,Richard Thompson,Female,34,26-35,Jacksonville,FL,South,2023-12-23,55,2,292.21,146.1,2024-03-29,2025-05-05,Warm (31-90),1,Potential / Occasional
C00033,Robert Johnson,Female,50,46-55,Fort Worth,TX,South,2022-01-27,385,2,211.83,105.92,2024-01-02,2024-06-09,At Risk (180+),1,Potential / Occasional
C00034,Joseph Harris,Male,56,56-65,Columbus,OH,Central,2022-01-14,578,2,201.38,100.69,2023-06-27,2023-11-29,At Risk (180+),2,Low-Value / At-Risk
C00035,Charles Williams,Male,24,18-25,Charlotte,NC,South,2023-10-15,13,14,6922.5,494.46,2022-01-08,2025-06-16,Active (0-30),0,High-Value Champions
C00036,Joseph Ramirez,Female,51,46-55,Seattle,WA,West,2021-07-20,1154,1,102.53,102.53,2022-05-02,2022-05-02,At Risk (180+),2,Low-Value / At-Risk
C00037,Michael Gonzalez,Male,40,36-45,Denver,CO,West,2023-11-23,111,2,489.76,244.88,2022-12-29,2025-03-10,Cool (91-180),1,Potential / Occasional
C00038,Sarah Anderson,Female,57,56-65,Boston,MA,East,2023-03-16,22,16,11685.07,730.32,2022-08-25,2025-06-07,Active (0-30),0,High-Value Champions
C00039,Lisa Garcia,Female,18,18-25,Nashville,TN,South,2022-12-27,19,7,1771.0,253.0,2023-01-10,2025-06-10,Active (0-30),3,Loyal Frequent
C00040,Lisa Lopez,Female,20,18-25,Detroit,MI,Central,2022-09-05,72,16,7575.31,473.46,2022-01-17,2025-04-18,Warm (31-90),0,High-Value Champions
C00041,Susan Perez,Female,31,26-35,New York,NY,East,2023-10-26,231,2,315.24,157.62,2022-10-12,2024-11-10,At Risk (180+),1,Potential / Occasional
C00042,Sarah Thompson,Male,32,26-35,Los Angeles,CA,West,2023-05-21,222,2,207.98,103.99,2024-07-06,2024-11-19,At Risk (180+),1,Potential / Occasional
C00043,Robert Martin,Male,30,26-35,Chicago,IL,Central,2023-11-05,81,19,11504.59,605.5,2022-01-04,2025-04-09,Warm (31-90),0,High-Value Champions
C00044,David Moore,Female,69,65+,Houston,TX,South,2023-05-14,156,13,6286.73,483.59,2022-02-05,2025-01-24,Cool (91-180),0,High-Value Champions
C00045,Jessica Garcia,Female,47,46-55,Phoenix,AZ,West,2023-10-18,110,6,1534.89,255.82,2023-10-25,2025-03-11,Cool (91-180),3,Loyal Frequent
C00046,Sandra Gonzalez,Male,62,56-65,Philadelphia,PA,East,2022-04-30,476,5,1697.27,339.45,2022-02-12,2024-03-10,At Risk (180+),1,Potential / Occasional
C00047,Sarah Robinson,Male,30,26-35,San Antonio,TX,South,2024-04-09,51,5,1516.47,303.29,2023-06-12,2025-05-09,Warm (31-90),3,Loyal Frequent
C00048,Emily Davis,Female,68,65+,San Diego,CA,West,2024-03-29,424,2,147.33,73.66,2022-02-27,2024-05-01,At Risk (180+),1,Potential / Occasional
C00049,Christopher Clark,Female,59,56-65,Dallas,TX,South,2024-01-15,48,11,4716.44,428.77,2022-02-21,2025-05-12,Warm (31-90),3,Loyal Frequent
C00050,Patricia Davis,Male,70,65+,San Jose,CA,West,2022-07-11,37,11,4968.9,451.72,2022-04-28,2025-05-23,Warm (31-90),0,High-Value Champions
C00051,John Sanchez,Male,61,56-65,Austin,TX,South,2022-10-08,159,4,1128.13,282.03,2023-07-30,2025-01-21,Cool (91-180),1,Potential / Occasional
C00052,Christopher Gonzalez,Male,74,65+,Jacksonville,FL,South,2021-07-09,267,11,5252.89,477.54,2022-03-12,2024-10-05,At Risk (180+),0,High-Value Champions
C00053,Sarah Williams,Female,58,56-65,Fort Worth,TX,South,2022-09-25,371,6,1695.19,282.53,2022-02-02,2024-06-23,At Risk (180+),3,Loyal Frequent
C00054,Susan Robinson,Female,26,26-35,Columbus,OH,Central,2022-12-11,395,5,1073.4,214.68,2022-06-21,2024-05-30,At Risk (180+),1,Potential / Occasional
C00055,Andrew Lewis,Male,68,65+,Charlotte,NC,South,2021-11-14,167,1,166.68,166.68,2025-01-13,2025-01-13,Cool (91-180),1,Potential / Occasional
C00056,Christopher Miller,Male,71,65+,Seattle,WA,West,2022-11-15,1052,1,114.45,114.45,2022-08-12,2022-08-12,At Risk (180+),2,Low-Value / At-Risk
C00057,Ashley Gonzalez,Male,69,65+,Denver,CO,West,2024-02-11,322,1,32.69,32.69,2024-08-11,2024-08-11,At Risk (180+),1,Potential / Occasional
C00058,Sandra Jones,Male,73,65+,Boston,MA,East,2024-02-11,3,19,9331.6,491.14,2022-01-12,2025-06-26,Active (0-30),0,High-Value Champions
C00059,Thomas Jones,Male,19,18-25,Nashville,TN,South,2024-01-10,303,2,217.43,108.72,2024-03-23,2024-08-30,At Risk (180+),1,Potential / Occasional
C00060,Jessica White,Male,40,36-45,Detroit,MI,Central,2022-10-04,105,2,210.35,105.18,2024-11-03,2025-03-16,Cool (91-180),1,Potential / Occasional
C00061,Emily Moore,Male,19,18-25,New York,NY,East,2022-01-20,337,1,353.14,353.14,2024-07-27,2024-07-27,At Risk (180+),1,Potential / Occasional
C00062,Thomas White,Female,49,46-55,Los Angeles,CA,West,2023-12-13,385,3,644.88,214.96,2022-03-17,2024-06-09,At Risk (180+),1,Potential / Occasional
C00063,Donna Wilson,Female,28,26-35,Chicago,IL,Central,2021-09-04,436,4,942.39,235.6,2022-11-06,2024-04-19,At Risk (180+),1,Potential / Occasional
C00064,Donna Gonzalez,Male,55,46-55,Houston,TX,South,2021-05-03,357,2,213.39,106.7,2023-10-25,2024-07-07,At Risk (180+),1,Potential / Occasional
C00065,Lisa Davis,Male,51,46-55,Phoenix,AZ,West,2021-10-07,27,2,343.2,171.6,2024-03-23,2025-06-02,Active (0-30),1,Potential / Occasional
C00066,William Taylor,Male,65,56-65,Philadelphia,PA,East,2021-07-17,743,4,722.02,180.5,2022-12-09,2023-06-17,At Risk (180+),2,Low-Value / At-Risk
C00067,Ashley Williams,Female,23,18-25,San Antonio,TX,South,2021-05-24,70,12,5617.49,468.12,2022-01-28,2025-04-20,Warm (31-90),0,High-Value Champions
C00068,Patricia Ramirez,Male,37,36-45,San Diego,CA,West,2022-04-09,183,5,1458.43,291.69,2022-01-15,2024-12-28,At Risk (180+),3,Loyal Frequent
C00069,Linda Jones,Female,36,36-45,Dallas,TX,South,2023-02-03,46,13,5824.56,448.04,2022-03-14,2025-05-14,Warm (31-90),0,High-Value Champions
C00070,David Sanchez,Male,24,18-25,San Jose,CA,West,2021-05-27,325,2,488.96,244.48,2023-01-19,2024-08-08,At Risk (180+),1,Potential / Occasional
C00071,Margaret Martin,Female,56,56-65,Austin,TX,South,2022-05-04,406,1,164.73,164.73,2024-05-19,2024-05-19,At Risk (180+),1,Potential / Occasional
C00072,Robert Gonzalez,Female,28,26-35,Jacksonville,FL,South,2021-12-04,108,2,470.8,235.4,2023-08-18,2025-03-13,Cool (91-180),1,Potential / Occasional
C00073,Matthew Martin,Male,48,46-55,Fort Worth,TX,South,2022-04-18,126,4,1457.53,364.38,2022-11-27,2025-02-23,Cool (91-180),1,Potential / Occasional
C00074,Sandra Taylor,Female,43,36-45,Columbus,OH,Central,2021-09-20,377,1,33.6,33.6,2024-06-17,2024-06-17,At Risk (180+),1,Potential / Occasional
C00075,Thomas Moore,Female,66,65+,Charlotte,NC,South,2022-09-16,371,3,434.77,144.92,2022-06-28,2024-06-23,At Risk (180+),1,Potential / Occasional
C00076,James Perez,Female,29,26-35,Seattle,WA,West,2021-01-02,568,2,347.14,173.57,2023-09-08,2023-12-09,At Risk (180+),2,Low-Value / At-Risk
C00077,Linda Perez,Female,72,65+,Denver,CO,West,2022-03-29,22,2,158.82,79.41,2024-04-22,2025-06-07,Active (0-30),1,Potential / Occasional
C00078,Paul Harris,Male,36,36-45,Boston,MA,East,2021-01-09,1052,2,544.73,272.36,2022-06-14,2022-08-12,At Risk (180+),2,Low-Value / At-Risk
C00079,Sarah Harris,Female,37,36-45,Nashville,TN,South,2023-03-27,157,5,1853.88,370.78,2022-04-26,2025-01-23,Cool (91-180),3,Loyal Frequent
C00080,Nancy Brown,Male,50,46-55,Detroit,MI,Central,2021-06-01,30,4,677.97,169.49,2022-03-20,2025-05-30,Active (0-30),1,Potential / Occasional
C00081,Charles Wilson,Male,25,18-25,New York,NY,East,2022-09-20,158,3,213.98,71.33,2022-11-06,2025-01-22,Cool (91-180),1,Potential / Occasional
C00082,David Anderson,Female,52,46-55,Los Angeles,CA,West,2021-04-14,120,7,1621.56,231.65,2023-03-24,2025-03-01,Cool (91-180),3,Loyal Frequent
C00083,James White,Male,52,46-55,Chicago,IL,Central,2024-02-10,120,6,1521.81,253.64,2022-02-28,2025-03-01,Cool (91-180),3,Loyal Frequent
C00084,Thomas Taylor,Male,63,56-65,Houston,TX,South,2021-06-02,234,8,2375.77,296.97,2022-02-21,2024-11-07,At Risk (180+),3,Loyal Frequent
C00085,Barbara Taylor,Female,52,46-55,Phoenix,AZ,West,2021-12-04,40,8,4084.62,510.58,2022-03-24,2025-05-20,Warm (31-90),3,Loyal Frequent
C00086,Michael Ramirez,Male,50,46-55,Philadelphia,PA,East,2023-08-15,90,7,2050.28,292.9,2022-11-17,2025-03-31,Warm (31-90),3,Loyal Frequent
C00087,Karen Clark,Female,65,56-65,San Antonio,TX,South,2023-03-12,403,2,283.28,141.64,2022-05-05,2024-05-22,At Risk (180+),1,Potential / Occasional
C00088,Steven Martin,Female,50,46-55,San Diego,CA,West,2024-03-04,61,15,8152.44,543.5,2022-02-01,2025-04-29,Warm (31-90),0,High-Value Champions
C00089,Richard Jones,Male,68,65+,Dallas,TX,South,2022-11-19,37,2,259.16,129.58,2022-05-10,2025-05-23,Warm (31-90),1,Potential / Occasional
C00090,Lisa Harris,Male,63,56-65,San Jose,CA,West,2022-04-15,135,6,852.42,142.07,2023-01-01,2025-02-14,Cool (91-180),3,Loyal Frequent
C00091,David Moore,Female,68,65+,Austin,TX,South,2021-02-07,363,2,92.27,46.14,2023-10-23,2024-07-01,At Risk (180+),1,Potential / Occasional
C00092,Kimberly Robinson,Female,44,36-45,Jacksonville,FL,South,2022-03-14,257,2,344.3,172.15,2022-03-14,2024-10-15,At Risk (180+),1,Potential / Occasional
C00093,James Martin,Male,50,46-55,Fort Worth,TX,South,2021-08-14,279,3,465.34,155.11,2022-09-22,2024-09-23,At Risk (180+),1,Potential / Occasional
C00094,Christopher Thomas,Female,50,46-55,Columbus,OH,Central,2021-10-11,118,10,5191.49,519.15,2022-05-24,2025-03-03,Cool (91-180),3,Loyal Frequent
C00095,Mary Brown,Male,65,56-65,Charlotte,NC,South,2022-03-29,1208,1,256.75,256.75,2022-03-09,2022-03-09,At Risk (180+),2,Low-Value / At-Risk
C00096,Lisa Lewis,Female,66,65+,Seattle,WA,West,2022-10-21,69,6,1898.48,316.41,2022-03-28,2025-04-21,Warm (31-90),3,Loyal Frequent
C00097,Karen Davis,Female,47,46-55,Denver,CO,West,2021-01-17,97,11,6538.07,594.37,2022-03-19,2025-03-24,Cool (91-180),0,High-Value Champions
C00098,Patricia Davis,Male,23,18-25,Boston,MA,East,2022-04-22,14,4,1038.74,259.68,2024-05-20,2025-06-15,Active (0-30),1,Potential / Occasional
C00099,Andrew Williams,Female,54,46-55,Nashville,TN,South,2021-04-09,140,6,1278.41,213.07,2022-09-10,2025-02-09,Cool (91-180),3,Loyal Frequent
C00100,Jennifer White,Male,63,56-65,Detroit,MI,Central,2021-10-07,232,4,1678.74,419.68,2022-03-27,2024-11-09,At Risk (180+),1,Potential / Occasional
C00101,Ashley Clark,Female,50,46-55,New York,NY,East,2021-06-30,201,5,1731.67,346.33,2022-02-08,2024-12-10,At Risk (180+),3,Loyal Frequent
C00102,Robert Harris,Male,38,36-45,Los Angeles,CA,West,2024-02-14,64,19,9889.46,520.5,2022-01-25,2025-04-26,Warm (31-90),0,High-Value Champions
C00103,Paul Harris,Female,20,18-25,Chicago,IL,Central,2023-07-17,516,2,515.92,257.96,2023-12-11,2024-01-30,At Risk (180+),2,Low-Value / At-Risk
C00104,William Jones,Male,59,56-65,Houston,TX,South,2021-05-08,15,4,1009.95,252.49,2022-03-09,2025-06-14,Active (0-30),1,Potential / Occasional
C00105,Donald Moore,Female,57,56-65,Phoenix,AZ,West,2022-07-20,26,5,982.7,196.54,2022-10-11,2025-06-03,Active (0-30),1,Potential / Occasional
C00106,David Rodriguez,Male,49,46-55,Philadelphia,PA,East,2022-11-17,71,7,1993.36,284.77,2022-04-11,2025-04-19,Warm (31-90),3,Loyal Frequent
C00107,Kimberly Ramirez,Male,44,36-45,San Antonio,TX,South,2023-05-04,183,3,203.84,67.95,2022-08-14,2024-12-28,At Risk (180+),1,Potential / Occasional
C00108,Joshua Wilson,Female,34,26-35,San Diego,CA,West,2022-05-05,13,6,1778.91,296.48,2022-08-03,2025-06-16,Active (0-30),3,Loyal Frequent
C00109,Susan Robinson,Female,60,56-65,Dallas,TX,South,2024-02-02,6,6,2242.1,373.68,2023-06-12,2025-06-23,Active (0-30),3,Loyal Frequent
C00110,Paul Harris,Male,46,46-55,San Jose,CA,West,2021-09-03,245,4,1171.15,292.79,2022-02-06,2024-10-27,At Risk (180+),1,Potential / Occasional
C00111,Richard Thompson,Male,67,65+,Austin,TX,South,2023-01-29,174,4,715.96,178.99,2022-02-11,2025-01-06,Cool (91-180),1,Potential / Occasional
C00112,Karen Gonzalez,Female,24,18-25,Jacksonville,FL,South,2023-07-10,14,8,3709.51,463.69,2022-04-05,2025-06-15,Active (0-30),3,Loyal Frequent
C00113,Lisa Anderson,Female,18,18-25,Fort Worth,TX,South,2021-02-05,195,2,187.15,93.58,2022-10-04,2024-12-16,At Risk (180+),1,Potential / Occasional
C00114,Kimberly Anderson,Male,31,26-35,Columbus,OH,Central,2022-05-27,54,7,1365.04,195.01,2022-07-20,2025-05-06,Warm (31-90),3,Loyal Frequent
C00115,Linda Davis,Female,32,26-35,Charlotte,NC,South,2023-08-30,171,2,309.17,154.58,2023-02-27,2025-01-09,Cool (91-180),1,Potential / Occasional
C00116,Joseph Williams,Female,49,46-55,Seattle,WA,West,2024-01-21,73,16,8174.46,510.9,2022-04-19,2025-04-17,Warm (31-90),0,High-Value Champions
C00117,Nancy Smith,Female,68,65+,Denver,CO,West,2022-12-28,1136,2,317.97,158.99,2022-03-29,2022-05-20,At Risk (180+),2,Low-Value / At-Risk
C00118,Donna Moore,Female,39,36-45,Boston,MA,East,2022-07-29,773,4,1513.07,378.27,2022-11-23,2023-05-18,At Risk (180+),2,Low-Value / At-Risk
C00119,Joseph Jackson,Female,66,65+,Nashville,TN,South,2021-11-10,174,4,815.64,203.91,2022-02-14,2025-01-06,Cool (91-180),1,Potential / Occasional
C00120,Joseph Smith,Female,71,65+,Detroit,MI,Central,2022-11-13,248,9,3446.17,382.91,2022-06-20,2024-10-24,At Risk (180+),3,Loyal Frequent
C00121,Robert Thompson,Male,50,46-55,New York,NY,East,2023-09-30,583,5,980.87,196.17,2022-03-25,2023-11-24,At Risk (180+),2,Low-Value / At-Risk
C00122,Patricia Davis,Female,61,56-65,Los Angeles,CA,West,2021-09-21,437,4,1104.16,276.04,2022-06-11,2024-04-18,At Risk (180+),1,Potential / Occasional
C00123,Robert Lewis,Male,23,18-25,Chicago,IL,Central,2021-01-05,13,12,6093.42,507.78,2022-03-23,2025-06-16,Active (0-30),0,High-Value Champions
C00124,John Ramirez,Male,47,46-55,Houston,TX,South,2023-05-27,726,2,344.29,172.14,2022-08-12,2023-07-04,At Risk (180+),2,Low-Value / At-Risk
C00125,Nancy Williams,Female,57,56-65,Phoenix,AZ,West,2021-02-16,64,11,6187.55,562.5,2022-01-21,2025-04-26,Warm (31-90),0,High-Value Champions
C00126,Steven Davis,Female,59,56-65,Philadelphia,PA,East,2022-10-18,270,2,428.6,214.3,2024-04-17,2024-10-02,At Risk (180+),1,Potential / Occasional
C00127,Sarah Perez,Male,36,36-45,San Antonio,TX,South,2022-10-19,22,6,2089.04,348.17,2022-06-04,2025-06-07,Active (0-30),3,Loyal Frequent
C00128,Ashley Miller,Male,54,46-55,San Diego,CA,West,2023-12-18,3,8,2792.76,349.1,2022-08-13,2025-06-26,Active (0-30),3,Loyal Frequent
C00129,Paul Jones,Male,26,26-35,Dallas,TX,South,2021-04-27,288,5,1084.1,216.82,2022-08-04,2024-09-14,At Risk (180+),1,Potential / Occasional
C00130,Andrew Jackson,Male,18,18-25,San Jose,CA,West,2023-10-10,40,19,10899.64,573.67,2022-02-05,2025-05-20,Warm (31-90),0,High-Value Champions
C00131,Donald Davis,Male,71,65+,Austin,TX,South,2023-03-13,64,6,993.32,165.55,2022-02-08,2025-04-26,Warm (31-90),3,Loyal Frequent
C00132,Donald Sanchez,Male,62,56-65,Jacksonville,FL,South,2022-07-14,521,2,230.86,115.43,2022-05-20,2024-01-25,At Risk (180+),2,Low-Value / At-Risk
C00133,Anthony Miller,Female,56,56-65,Fort Worth,TX,South,2023-06-16,183,2,294.12,147.06,2023-05-21,2024-12-28,At Risk (180+),1,Potential / Occasional
C00134,Michael Brown,Female,39,36-45,Columbus,OH,Central,2022-12-05,138,6,1736.41,289.4,2022-04-10,2025-02-11,Cool (91-180),3,Loyal Frequent
C00135,Margaret Lopez,Male,29,26-35,Charlotte,NC,South,2023-05-11,160,2,137.48,68.74,2024-09-24,2025-01-20,Cool (91-180),1,Potential / Occasional
C00136,Margaret Wilson,Male,54,46-55,Seattle,WA,West,2021-06-03,349,8,3503.78,437.97,2022-02-27,2024-07-15,At Risk (180+),3,Loyal Frequent
C00137,Sandra Ramirez,Male,31,26-35,Denver,CO,West,2024-01-15,54,17,8873.21,521.95,2022-01-18,2025-05-06,Warm (31-90),0,High-Value Champions
C00138,Patricia Perez,Male,47,46-55,Boston,MA,East,2023-12-29,6,12,6332.53,527.71,2022-03-20,2025-06-23,Active (0-30),0,High-Value Champions
C00139,Michael Johnson,Female,29,26-35,Nashville,TN,South,2023-08-16,79,3,340.06,113.35,2022-01-29,2025-04-11,Warm (31-90),1,Potential / Occasional
C00140,Betty White,Male,65,56-65,Detroit,MI,Central,2023-07-01,20,5,1170.23,234.05,2022-03-05,2025-06-09,Active (0-30),3,Loyal Frequent
C00141,Nancy Sanchez,Male,50,46-55,New York,NY,East,2021-12-07,483,1,17.39,17.39,2024-03-03,2024-03-03,At Risk (180+),1,Potential / Occasional
C00142,Michael Davis,Male,27,26-35,Los Angeles,CA,West,2021-12-23,418,3,332.3,110.77,2022-07-17,2024-05-07,At Risk (180+),1,Potential / Occasional
C00143,Richard Miller,Male,48,46-55,Chicago,IL,Central,2024-01-29,314,2,123.03,61.52,2023-01-14,2024-08-19,At Risk (180+),1,Potential / Occasional
C00144,Paul Anderson,Female,49,46-55,Houston,TX,South,2023-02-01,78,4,1243.54,310.88,2022-03-10,2025-04-12,Warm (31-90),1,Potential / Occasional
C00145,William Wilson,Female,62,56-65,Phoenix,AZ,West,2023-02-08,226,4,1410.28,352.57,2023-10-22,2024-11-15,At Risk (180+),1,Potential / Occasional
C00146,Barbara Rodriguez,Female,33,26-35,Philadelphia,PA,East,2022-05-31,276,9,5381.48,597.94,2022-03-10,2024-09-26,At Risk (180+),3,Loyal Frequent
C00147,Sandra Davis,Male,49,46-55,San Antonio,TX,South,2021-09-15,298,7,1846.05,263.72,2023-02-02,2024-09-04,At Risk (180+),3,Loyal Frequent
C00148,Robert Anderson,Female,67,65+,San Diego,CA,West,2023-05-02,179,3,329.09,109.7,2023-08-12,2025-01-01,Cool (91-180),1,Potential / Occasional
C00149,Emily Brown,Male,68,65+,Dallas,TX,South,2022-01-15,355,2,143.92,71.96,2024-05-08,2024-07-09,At Risk (180+),1,Potential / Occasional
C00150,Patricia Lee,Female,61,56-65,San Jose,CA,West,2024-04-06,684,1,249.11,249.11,2023-08-15,2023-08-15,At Risk (180+),2,Low-Value / At-Risk
C00151,Paul Clark,Male,48,46-55,Austin,TX,South,2021-10-12,447,6,886.3,147.72,2022-08-16,2024-04-08,At Risk (180+),1,Potential / Occasional
C00152,James Williams,Female,40,36-45,Jacksonville,FL,South,2022-05-14,70,2,134.9,67.45,2024-09-17,2025-04-20,Warm (31-90),1,Potential / Occasional
C00153,Jessica Garcia,Female,46,46-55,Fort Worth,TX,South,2023-04-29,215,8,5174.0,646.75,2022-01-25,2024-11-26,At Risk (180+),3,Loyal Frequent
C00154,Anthony Thomas,Male,51,46-55,Columbus,OH,Central,2023-08-28,122,12,7611.39,634.28,2022-01-21,2025-02-27,Cool (91-180),0,High-Value Champions
C00155,Donald Miller,Male,21,18-25,Charlotte,NC,South,2021-04-25,622,3,372.3,124.1,2023-02-11,2023-10-16,At Risk (180+),2,Low-Value / At-Risk
C00156,Betty Lewis,Female,62,56-65,Seattle,WA,West,2023-04-06,905,1,73.29,73.29,2023-01-06,2023-01-06,At Risk (180+),2,Low-Value / At-Risk
C00157,Patricia Garcia,Female,53,46-55,Denver,CO,West,2024-01-04,1047,1,46.08,46.08,2022-08-17,2022-08-17,At Risk (180+),2,Low-Value / At-Risk
C00158,Matthew Smith,Female,74,65+,Boston,MA,East,2022-12-30,205,9,3893.73,432.64,2022-04-10,2024-12-06,At Risk (180+),3,Loyal Frequent
C00159,Matthew Rodriguez,Male,26,26-35,Nashville,TN,South,2022-11-07,140,3,338.15,112.72,2023-04-21,2025-02-09,Cool (91-180),1,Potential / Occasional
C00160,Sandra Martinez,Female,66,65+,Detroit,MI,Central,2023-07-09,12,4,1438.06,359.52,2023-02-07,2025-06-17,Active (0-30),1,Potential / Occasional
C00161,Margaret Thompson,Male,35,26-35,New York,NY,East,2024-01-28,178,5,1612.94,322.59,2022-04-15,2025-01-02,Cool (91-180),3,Loyal Frequent
C00162,Emily Perez,Female,41,36-45,Los Angeles,CA,West,2023-10-06,513,3,230.5,76.83,2023-12-14,2024-02-02,At Risk (180+),2,Low-Value / At-Risk
C00163,Ashley Jones,Female,54,46-55,Chicago,IL,Central,2022-10-25,244,8,3483.33,435.42,2022-02-07,2024-10-28,At Risk (180+),3,Loyal Frequent
C00164,Richard Martinez,Female,58,56-65,Houston,TX,South,2021-10-06,173,4,557.8,139.45,2022-11-04,2025-01-07,Cool (91-180),1,Potential / Occasional
